Datum;Altersklasse;Geschlecht;Anzahl_Personen
2020-02-27;20 - 29;FE;1
2020-03-02;20 - 29;MA;1
2020-03-03;30 - 39;MA;1
2020-03-04;20 - 29;FE;1
2020-03-04;50 - 59;MA;1
2020-03-04;60 - 69;FE;2
2020-03-05;20 - 29;MA;1
2020-03-05;30 - 39;FE;1
2020-03-05;40 - 49;FE;1
2020-03-05;50 - 59;MA;1
2020-03-05;60 - 69;FE;1
2020-03-06;30 - 39;FE;2
2020-03-06;30 - 39;MA;1
2020-03-06;50 - 59;FE;1
2020-03-06;60 - 69;FE;1
2020-03-07;30 - 39;MA;1
2020-03-07;40 - 49;FE;1
2020-03-07;70 - 79;FE;1
2020-03-08;20 - 29;MA;1
2020-03-08;30 - 39;FE;1
2020-03-08;30 - 39;MA;1
2020-03-08;40 - 49;MA;2
2020-03-09;20 - 29;FE;1
2020-03-09;30 - 39;FE;2
2020-03-09;30 - 39;MA;1
2020-03-09;40 - 49;MA;2
2020-03-09;60 - 69;FE;1
2020-03-09;70 - 79;FE;1
2020-03-09;70 - 79;MA;1
2020-03-09;80 - 89;FE;1
2020-03-10;20 - 29;FE;1
2020-03-10;30 - 39;MA;1
2020-03-10;70 - 79;FE;2
2020-03-10;70 - 79;MA;1
2020-03-10;80 - 89;FE;1
2020-03-11;20 - 29;FE;1
2020-03-11;20 - 29;MA;3
2020-03-11;30 - 39;FE;3
2020-03-11;40 - 49;FE;3
2020-03-11;40 - 49;MA;2
2020-03-11;50 - 59;FE;1
2020-03-11;50 - 59;MA;2
2020-03-11;60 - 69;FE;3
2020-03-11;60 - 69;MA;1
2020-03-11;70 - 79;FE;2
2020-03-11;80 - 89;FE;1
2020-03-12;10 - 19;FE;3
2020-03-12;20 - 29;FE;2
2020-03-12;20 - 29;MA;2
2020-03-12;30 - 39;MA;2
2020-03-12;40 - 49;FE;1
2020-03-12;40 - 49;MA;4
2020-03-12;50 - 59;FE;2
2020-03-12;50 - 59;MA;1
2020-03-12;60 - 69;FE;1
2020-03-12;70 - 79;FE;3
2020-03-12;70 - 79;MA;2
2020-03-12;80 - 89;MA;1
2020-03-13;10 - 19;FE;1
2020-03-13;20 - 29;FE;1
2020-03-13;20 - 29;MA;1
2020-03-13;30 - 39;FE;1
2020-03-13;30 - 39;MA;1
2020-03-13;40 - 49;FE;3
2020-03-13;50 - 59;FE;1
2020-03-13;50 - 59;MA;1
2020-03-13;60 - 69;MA;1
2020-03-13;70 - 79;MA;1
2020-03-14;00 - 09;FE;1
